,Maps,Hopital,Avis,Type,Adressse,Open,Tel,Site Web,Région,Latitude,Longitude
159,https://www.google.com/maps/place/Clinique+De+Dialyse+Chefia/data=!4m7!3m6!1s0x12fec326c953021d:0xba1fa3935971d458!8m2!3d35.0340565!4d9.4967831!16s%2Fg%2F11dxbrsft8!19sChIJHQJTySbD_hIRWNRxWZOjH7o?authuser=0&hl=fr&rclk=1,Clinique De Dialyse Chefia,,Médecin,"2FMW+JPF, Route",,76 636 000,,Sidi Bouzid,35.0340565,9.4967831
160,https://www.google.com/maps/place/Clinique+IMENE/data=!4m7!3m6!1s0x12fefd937b6990a7:0x337ebba44caa3cb1!8m2!3d34.859774!4d9.782449!16s%2Fg%2F11j8h_m2vn!19sChIJp5Bpe5P9_hIRsTyqTKS7fjM?authuser=0&hl=fr&rclk=1,Clinique IMENE,"5,0",Hôpital,VQ5J+WX4,,,,Sidi Bouzid,34.859774,9.782449
161,https://www.google.com/maps/place/Cabinet+Dr.Slah+Saidi+dentiste/data=!4m7!3m6!1s0x12fec33ccd281e47:0x91b36275937b6981!8m2!3d35.0368813!4d9.4894584!16s%2Fg%2F11c1ljksg1!19sChIJRx4ozTzD_hIRgWl7k3Vis5E?authuser=0&hl=fr&rclk=1,Cabinet Dr.Slah Saidi dentiste,,Hôpital,2FPQ+QQ4,Fermé,,,Sidi Bouzid,35.0368813,9.4894584
162,https://www.google.com/maps/place/centre+d%27imagerie+M%C3%A9dical+Zitouna/data=!4m7!3m6!1s0x12fec3a82b25c223:0x2264a83d36d46fa6!8m2!3d35.0354234!4d9.483967!16s%2Fg%2F11t9_t3pc_!19sChIJI8IlK6jD_hIRpm_UNj2oZCI?authuser=0&hl=fr&rclk=1,centre d'imagerie Médical Zitouna,,Groupe médical,,,97664056,,Sidi Bouzid,35.0354234,9.483967
163,https://www.google.com/maps/place/Clinique+el+balssam/data=!4m7!3m6!1s0x1301d2fca8211cb9:0xfd63ed6d27724bbd!8m2!3d34.7707774!4d10.7605456!16s%2Fg%2F11g9qgccqn!19sChIJuRwhqPzSARMRvUtyJ23tY_0?authuser=0&hl=fr&rclk=1,Clinique el balssam,"5,0",Hôpital,QQC6+867,,,,Sfax,34.7707774,10.7605456
164,https://www.google.com/maps/place/%D9%85%D8%B5%D8%AD%D8%A9+%D8%A7%D9%84%D8%B1%D8%B4%D9%8A%D8%AF+%D8%B5%D9%81%D8%A7%D9%82%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x1301d33f7ac65cd5:0x41ebf89fd4b171c6!8m2!3d34.7581476!4d10.7329595!16s%2Fg%2F1tfd9cfh!19sChIJ1VzGej_TARMRxnGx1J_460E?authuser=0&hl=fr&rclk=1,مصحة الرشيد صفاقس,"4,3",Hôpital privé,POLYCLINIQUE ERRACHID,Ouvert 24h/24,74 152 000,http://bit.ly/ERRACHIDSfax,Sfax,34.7581476,10.7329595
165,https://www.google.com/maps/place/Polyclinique+Erriadh+Sfax/data=!4m7!3m6!1s0x1301d2c24f30c97b:0x5c48f7a448aaedb7!8m2!3d34.7562706!4d10.7700024!16s%2Fg%2F11f4pl89vm!19sChIJe8kwT8LSARMRt-2qSKT3SFw?authuser=0&hl=fr&rclk=1,Polyclinique Erriadh Sfax,"3,7",Hôpital privé,QQ4C+G22,,74 236 678,,Sfax,34.7562706,10.7700024
166,https://www.google.com/maps/place/Polyclinique+Meigni%C3%A9+-+%D9%85%D8%B5%D8%AD%D8%A9+%D9%85%D9%86%D9%8A%D8%A7%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x1301d2c545117407:0x729df4e1b3d716d9!8m2!3d34.7486217!4d10.7670442!16s%2Fg%2F1v86gxvw!19sChIJB3QRRcXSARMR2RbXs-H0nXI?authuser=0&hl=fr&rclk=1,Polyclinique Meignié - مصحة منياي,"4,3",Hôpital privé,32 Av. habib bouguatfa,Ouvert 24h/23,74 235 220,,Sfax,34.7486217,10.7670442
167,https://www.google.com/maps/place/H%C3%B4pital+r%C3%A9gional+de+Bou+Assida/data=!4m7!3m6!1s0x1301d2f95888a8d5:0xe3bf10fce75b7423!8m2!3d34.7756159!4d10.7614461!16s%2Fg%2F1v387419!19sChIJ1aiIWPnSARMRI3Rb5_wQv-M?authuser=0&hl=fr&rclk=1,Hôpital régional de Bou Assida,,Hôpital gouvernemental,"QQG6+6HW, P1",,,,Sfax,34.7756159,10.7614461
168,https://www.google.com/maps/place/Polyclinique+ElBassatine/data=!4m7!3m6!1s0x1301d2da582314a5:0xa4b97a0f72e9ef25!8m2!3d34.7496859!4d10.7632862!16s%2Fg%2F11ck8k4cj4!19sChIJpRQjWNrSARMRJe_pcg96uaQ?authuser=0&hl=fr&rclk=1,Polyclinique ElBassatine,"3,9",Clinique,40 RUE DU CAIRE CITE JARDIN ROUTE DE TUNIS KM1,Ouvert 24h/23,74 225 466,,Sfax,34.7496859,10.7632862
169,https://www.google.com/maps/place/clinique+Essalema/data=!4m7!3m6!1s0x1301d2d52a356b5b:0x9888451f00d8a6b1!8m2!3d34.7381877!4d10.7570957!16s%2Fg%2F1th2n7ys!19sChIJW2s1KtXSARMRsabYAB9FiJg?authuser=0&hl=fr&rclk=1,clinique Essalema,"4,2",Clinique,"PQQ4+7RH, Av. des Martyrs",Ouvert 24h/23,74 407 474,,Sfax,34.7381877,10.7570957
170,https://www.google.com/maps/place/Polyclinique+sfax+medina/data=!4m7!3m6!1s0x13002cd5319bfc07:0x26245ecb8daf91a9!8m2!3d34.737511!4d10.7528381!16s%2Fg%2F11bzr_hr5d!19sChIJB_ybMdUsABMRqZGvjcteJCY?authuser=0&hl=fr&rclk=1,Polyclinique sfax medina,"3,4",Clinique,PQQ3+244,Ouvert 24h/24,74 416 000,http://www.polyclinique-medina.com/,Sfax,34.737511,10.7528381
171,https://www.google.com/maps/place/Clinique+Ennour/data=!4m7!3m6!1s0x13002cc50a7e0489:0xeeeb7c9e8c654c81!8m2!3d34.7264783!4d10.741024!16s%2Fg%2F11b6x8vlmg!19sChIJiQR-CsUsABMRgUxljJ586-4?authuser=0&hl=fr&rclk=1,Clinique Ennour,"3,9",Clinique,"km 1.5, Boulevard de l'environnement, Rte de Gabes",Ouvert 24h/24,74 451 000,http://www.polyclinique-ennour.net/,Sfax,34.7264783,10.741024
172,https://www.google.com/maps/place/%D9%85%D8%B5%D8%AD%D8%A9+%D8%B4%D9%85%D8%B3+%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9+-+Polyclinique+Chams+Internationale%E2%80%AD/data=!4m7!3m6!1s0x1301d31663d78119:0x8ffe5310d5a2a84c!8m2!3d34.763713!4d10.739032!16s%2Fg%2F11r90k669!19sChIJGYHXYxbTARMRTKii1RBT_o8?authuser=0&hl=fr&rclk=1,مصحة شمس الدولية - Polyclinique Chams Internationale,"3,9",Clinique,Route de Gremda Km 3.5 Sidi Abbes,Ouvert 24h/23,74 217 000,,Sfax,34.763713,10.739032
173,https://www.google.com/maps/place/Unit%C3%A9+de+pr%C3%A9l%C3%A8vement+%22PCR%22+SFAX/data=!4m7!3m6!1s0x1301d57f50ecb74f:0xbe28184b43e8ff48!8m2!3d34.7707334!4d10.6928804!16s%2Fg%2F11k1bvrhm5!19sChIJT7fsUH_VARMRSP_oQ0sYKL4?authuser=0&hl=fr&rclk=1,"Unité de prélèvement ""PCR"" SFAX",,Hôpital,El ain km 1,Fermé,58 172 178,https://m.facebook.com/profile.php?id=2490958921157404&ref=content_filter,Sfax,34.7707334,10.6928804
174,https://www.google.com/maps/place/%D9%85%D8%B5%D8%AD%D9%87+%D8%A7%D8%A8%D9%86+%D8%AE%D9%84%D8%AF%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1301d33d775d35ad:0x7ec4128dd03f3959!8m2!3d34.7602301!4d10.7410053!16s%2Fg%2F11hdb1ptfb!19sChIJrTVddz3TARMRWTk_0I0SxH4?authuser=0&hl=fr&rclk=1,مصحه ابن خلدون,"3,7",Hôpital,74 619 000,Ouvert 24h/24,,https://www.polyclinique-ibnkhaldoun.com.tn/,Sfax,34.7602301,10.7410053
175,https://www.google.com/maps/place/Clinique+El+Habib/data=!4m7!3m6!1s0x130212d230952695:0x2dccfde366d6a2c3!8m2!3d35.768268!4d10.8359276!16s%2Fg%2F1hc0t7002!19sChIJlSaVMNISAhMRw6LWZuP9zC0?authuser=0&hl=fr&rclk=1,Clinique El Habib,"3,7",Hôpital privé,Av Avicenne,Ouvert 24h/24,73 447 100,,Monastir,35.768268,10.8359276
176,"https://www.google.com/maps/place/CNMM+-+Urgences+et+services+cliniques+%28Gyn%C3%A9co,+R%C3%A9a+et+NN%29/data=!4m7!3m6!1s0x130212a6da0ddea7:0x32a08725c5639397!8m2!3d35.7603347!4d10.8032117!16s%2Fg%2F12vt6j0m6!19sChIJp94N2qYSAhMRl5NjxSWHoDI?authuser=0&hl=fr&rclk=1","CNMM - Urgences et services cliniques (Gynéco, Réa et NN)",,Hôpital,"QR63+47P, C100e",,,,Monastir,35.7603347,10.8032117
177,https://www.google.com/maps/place/Centre+de+Dialyse+SELECT+DIAL/data=!4m7!3m6!1s0x13026d1fa256d98f:0x921913adaa99469!8m2!3d35.7757019!4d10.8099182!16s%2Fg%2F11tdp1116n!19sChIJj9lWoh9tAhMRaZSp2jqRIQk?authuser=0&hl=fr&rclk=1,Centre de Dialyse SELECT DIAL,,Hôpital,av ali bourguiba,Fermé,98 405 421,,Monastir,35.7757019,10.8099182
178,https://www.google.com/maps/place/Centre+de+dialyse+el+emtiez/data=!4m7!3m6!1s0x130213069ab8d121:0xa00efcddcb61ab07!8m2!3d35.7737059!4d10.812385!16s%2Fg%2F11h7d7l6jf!19sChIJIdG4mgYTAhMRB6thy938DqA?authuser=0&hl=fr&rclk=1,Centre de dialyse el emtiez,,Hôpital,monastir av ali bourguiba,,,,Monastir,35.7737059,10.812385
179,https://www.google.com/maps/place/H%C3%B4pital+Fattouma+Bourguiba+de+Monastir/data=!4m7!3m6!1s0x130212cd7f8cea6f:0x536abf0a17e2086a!8m2!3d35.7703318!4d10.8337654!16s%2Fg%2F11c1njmv98!19sChIJb-qMf80SAhMRagjiFwq_alM?authuser=0&hl=fr&rclk=1,Hôpital Fattouma Bourguiba de Monastir,"3,1",Centre hospitalier universitaire,QRCM+4GJ,Ouvert 24h/24,73 460 309,,Monastir,35.7703318,10.8337654
180,https://www.google.com/maps/place/Clinique+Essouani/data=!4m7!3m6!1s0x13026d4b6071333d:0xe0c06cb7b951ee13!8m2!3d35.7759504!4d10.8170461!16s%2Fg%2F11c1wys03_!19sChIJPTNxYEttAhMRE-5RubdswOA?authuser=0&hl=fr&rclk=1,Clinique Essouani,"4,0",Clinique,QRG8+9RM,,73 501 002,,Monastir,35.7759504,10.8170461
181,https://www.google.com/maps/place/Consultations+Externes+De+L%27hopital+De+Monastir/data=!4m7!3m6!1s0x130212cd8ea50989:0xf81a40f9a99fa0a8!8m2!3d35.7692775!4d10.8326976!16s%2Fg%2F11dfwyymk5!19sChIJiQmljs0SAhMRqKCfqflAGvg?authuser=0&hl=fr&rclk=1,Consultations Externes De L'hopital De Monastir,"3,0",Hôpital,Consultations Externes CHU Fattouma Bourguiba,,,,Monastir,35.7692775,10.8326976
182,https://www.google.com/maps/place/%D9%85%D8%B5%D8%AD%D8%A9+%D8%A7%D9%84%D8%B3%D9%88%D8%A7%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x13026dc73256333d:0xf0d29bd3843f9d42!8m2!3d35.7759464!4d10.817212!16s%2Fg%2F11ftnm31zx!19sChIJPTNWMsdtAhMRQp0_hNOb0vA?authuser=0&hl=fr&rclk=1,مصحة السواني,,Clinique,"QRG8+9VG, Unnamed Road",,,,Monastir,35.7759464,10.817212
183,https://www.google.com/maps/place/CIMER+-+Clinique+D%27imagerie+Medicale+Ruspina/data=!4m7!3m6!1s0x130212cafbb8a7fb:0xb28f88d5b0a1ea40!8m2!3d35.771428!4d10.8246909!16s%2Fg%2F11bz0fv13q!19sChIJ-6e4-8oSAhMRQOqhsNWIj7I?authuser=0&hl=fr&rclk=1,CIMER - Clinique D'imagerie Medicale Ruspina,"4,5",Centre médical,"QRCF+HVG, Av. du combattant suprême",Fermé,73 461 230,,Monastir,35.771428,10.8246909
184,https://www.google.com/maps/place/Centre+de+n%C3%A9onatologie+et+maternit%C3%A9+Monastir/data=!4m7!3m6!1s0x130212a6c2a73769:0x646e3b6b377063bc!8m2!3d35.760896!4d10.8035946!16s%2Fg%2F1td8dpl2!19sChIJaTenwqYSAhMRvGNwN2s7bmQ?authuser=0&hl=fr&rclk=1,Centre de néonatologie et maternité Monastir,"4,1",Clinique de maternité,QR63+9C5,,73 908 702,,Monastir,35.760896,10.8035946
